Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Player,0,0.25,0,0,0,0,0,0,0
Kaguya,0,0.125,0,0,0,0,0,0,0
KineRabbit,-5,20,0,0,0,0,0,0,0
Rabbit,5,25,0,0,0,0,0,0,0
Rabbit,-5,35,0,0,0,0,0,0,0
Rabbit,5,45,0,0,0,0,0,0,0
Rabbit,-5,55,0,0,0,0,0,0,0
Rabbit,5,65,0,0,0,0,0,0,0
Goal,0,85,-7,0,0,0,0,0,0
Bamboo,6,0,0,0,0,0,0,0,0
Bamboo,4.95,0,0,0,0,0,0,0,0
Bamboo,3.9,0,0,0,0,0,0,0,0
Bamboo,2.85,0,0,0,0,0,0,0,0
Bamboo,1.8,0,0,0,0,0,0,0,0
Bamboo,-6,0,0,0,0,0,0,0,0
Bamboo,-4.95,0,0,0,0,0,0,0,0
Bamboo,-3.9,0,0,0,0,0,0,0,0
Bamboo,-2.85,0,0,0,0,0,0,0,0
Bamboo,-1.8,0,0,0,0,0,0,0,0
Bamboo,-6,10,0,0,0,0,0,0,0
Bamboo,-4.95,10,0,0,0,0,0,0,0
Bamboo,-3.9,10,0,0,0,0,0,0,0
Bamboo,-2.85,10,0,0,0,0,0,0,0
Bamboo,-1.8,10,0,0,0,0,0,0,0
Bamboo,-0.75,10,0,0,0,0,0,0,0
Bamboo,-0.75,8.95,0,0,0,0,0,0,0
Bamboo,-0.75,7.9,0,0,0,0,0,0,0
Heel,-2,8,0,0,0,0,0,0,0
Bamboo,-2.85,11.05,0,0,0,0,0,0,0
Bamboo,-2.85,15.25,0,0,0,0,0,0,0
Bamboo,-2.85,16.3,0,0,0,0,0,0,0
Bamboo,-1.8,16.3,0,0,0,0,0,0,0
Bamboo,-0.75,16.3,0,0,0,0,0,0,0
Bamboo,0.3,16.3,0,0,0,0,0,0,0
Bamboo,1.35,16.3,0,0,0,0,0,0,0
Bamboo,2.4,16.3,0,0,0,0,0,0,0
Bamboo,3.45,16.3,0,0,0,0,0,0,0
Heel,-4.95,12,0,0,0,0,0,0,0
Bamboo,0,20,0,0,0,0,0,0,0
Bamboo,1.05,20,0,0,0,0,0,0,0
Bamboo,2.1,20,0,0,0,0,0,0,0
Bamboo,2.1,21.05,0,0,0,0,0,0,0
Bamboo,-1.05,20,0,0,0,0,0,0,0
Bamboo,-2.1,20,0,0,0,0,0,0,0
Bamboo,-2.1,21.05,0,0,0,0,0,0,0
Bamboo,6,30,0,0,0,0,0,0,0
Bamboo,4.95,30,0,0,0,0,0,0,0
Bamboo,3.9,30,0,0,0,0,0,0,0
Bamboo,2.85,30,0,0,0,0,0,0,0
Bamboo,1.8,30,0,0,0,0,0,0,0
Bamboo,-6,50,0,0,0,0,0,0,0
Bamboo,-4.95,50,0,0,0,0,0,0,0
Bamboo,-3.9,50,0,0,0,0,0,0,0
Bamboo,-2.85,50,0,0,0,0,0,0,0
Bamboo,-1.8,50,0,0,0,0,0,0,0
Bamboo,6,70,0,0,0,0,0,0,0
Bamboo,4.95,70,0,0,0,0,0,0,0
Bamboo,3.9,70,0,0,0,0,0,0,0
Bamboo,2.85,70,0,0,0,0,0,0,0
Bamboo,1.8,70,0,0,0,0,0,0,0
CloudA,6,85,-8,0,0,0,0,0,0
CloudC,2,85,-8,0,0,0,0,0,0
CloudB,-2,85,-8,0,0,0,0,0,0
CloudA,-6,85,-8,0,0,0,0,0,0
StageCloudD,-1,5,-8,0,0,0,0,0,0
StageCloudA,-3,45,-8,0,0,0,0,0,0
StageCloudB,5,56,-8,0,0,0,0,0,0
StageCloudD,2,77,-8,0,0,0,0,0,0
StageCloudA,-3,24,-8,0,0,0,0,0,0
StageCloudC,2,38,-8,0,0,0,0,0,0
StageCloudB,-4,13,-8,0,0,0,0,0,0
Heel,0,30,0,0,0,0,0,0,0
Heel,0,60,0,0,0,0,0,0,0
Heel,0,80,0,0,0,0,0,0,0
Wisp,5,5,0,0,0,0,0,0,0
end,,,,,,,,,
