Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Player,0,0.25,0,0,0,0,0,0,0
Kaguya,0,0.125,0,0,0,0,0,0,0
Goal,0,60,-7,0,0,0,0,0,0
CloudA,6,60,-8,0,0,0,0,0,0
CloudC,2,60,-8,0,0,0,0,0,0
CloudB,-2,60,-8,0,0,0,0,0,0
CloudA,-6,60,-8,0,0,0,0,0,0
StageCloudD,-1,5,-8,0,0,0,0,0,0
StageCloudA,-3,13,-8,0,0,0,0,0,0
StageCloudB,5,21,-8,0,0,0,0,0,0
StageCloudD,2,29,-8,0,0,0,0,0,0
StageCloudA,-3,37,-8,0,0,0,0,0,0
StageCloudC,2,45,-8,0,0,0,0,0,0
StageCloudB,-4,53,-8,0,0,0,0,0,0
Wisp,0,5,0,0,0,0,0,0,0
Wisp,0,10,0,0,0,0,0,0,0
Wisp,0,15,0,0,0,0,0,0,0
Bamboo,0,8,0,0,0,0,0,0,0
Bamboo,0.5,8,0,0,0,0,0,0,0
Bamboo,1,8,0,0,0,0,0,0,0
Bamboo,1.5,8,0,0,0,0,0,0,0
Bamboo,2,8,0,0,0,0,0,0,0
Bamboo,2.5,8,0,0,0,0,0,0,0
Bamboo,-0.5,8,0,0,0,0,0,0,0
Bamboo,-1,8,0,0,0,0,0,0,0
Bamboo,-1.5,8,0,0,0,0,0,0,0
Bamboo,-2,8,0,0,0,0,0,0,0
Bamboo,-2.5,8,0,0,0,0,0,0,0
Bamboo,6,13,0,0,0,0,0,0,0
Bamboo,5.5,13,0,0,0,0,0,0,0
Bamboo,5,13,0,0,0,0,0,0,0
Bamboo,4.5,13,0,0,0,0,0,0,0
Bamboo,4,13,0,0,0,0,0,0,0
Bamboo,3.5,13,0,0,0,0,0,0,0
Bamboo,3,13,0,0,0,0,0,0,0
Bamboo,-6,13,0,0,0,0,0,0,0
Bamboo,-5.5,13,0,0,0,0,0,0,0
Bamboo,-5,13,0,0,0,0,0,0,0
Bamboo,-4.5,13,0,0,0,0,0,0,0
Bamboo,-4,13,0,0,0,0,0,0,0
Bamboo,-3.5,13,0,0,0,0,0,0,0
Bamboo,-3,13,0,0,0,0,0,0,0
Bamboo,1,18,0,0,0,0,0,0,0
Bamboo,1.5,18,0,0,0,0,0,0,0
Bamboo,2,18,0,0,0,0,0,0,0
Bamboo,2.5,18,0,0,0,0,0,0,0
Bamboo,-1,18,0,0,0,0,0,0,0
Bamboo,-1.5,18,0,0,0,0,0,0,0
Bamboo,-2,18,0,0,0,0,0,0,0
Bamboo,-2.5,18,0,0,0,0,0,0,0
Heel,2,20,0,0,0,0,0,0,0
Heel,-2,20,0,0,0,0,0,0,0
KineRabbit,-5,23,0,0,0,0,0,0,0
KineRabbit,0,23,0,0,0,0,0,0,0
KineRabbit,5,23,0,0,0,0,0,0,0
BambooB,0,30,0,0,0,0,0,0,0
BambooB,0.5,30,0,0,0,0,0,0,0
BambooB,1,30,0,0,0,0,0,0,0
BambooB,1.5,30,0,0,0,0,0,0,0
BambooB,2,30,0,0,0,0,0,0,0
BambooB,2.5,30,0,0,0,0,0,0,0
BambooB,-0.5,30,0,0,0,0,0,0,0
BambooB,-1,30,0,0,0,0,0,0,0
BambooB,-1.5,30,0,0,0,0,0,0,0
BambooB,-2,30,0,0,0,0,0,0,0
BambooB,-2.5,30,0,0,0,0,0,0,0
end,,,,,,,,,
