Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Player,0,0.25,0,0,0,0,0,0,0
Kaguya,0,0.125,0,0,0,0,0,0,0
Goal,0,80,-7,0,0,0,0,0,0
CloudA,6,80,-8,0,0,0,0,0,0
CloudC,2,80,-8,0,0,0,0,0,0
CloudB,-2,80,-8,0,0,0,0,0,0
CloudA,-6,80,-8,0,0,0,0,0,0
StageCloudD,-1,5,-8,0,0,0,0,0,0
StageCloudA,-3,13,-8,0,0,0,0,0,0
StageCloudB,5,21,-8,0,0,0,0,0,0
StageCloudD,2,29,-8,0,0,0,0,0,0
StageCloudA,-3,37,-8,0,0,0,0,0,0
StageCloudC,2,45,-8,0,0,0,0,0,0
StageCloudB,-4,53,-8,0,0,0,0,0,0
StageCloudD,4,61,-8,0,0,0,0,0,0
StageCloudA,-5.3,69,-8,0,0,0,0,0,0
StageCloudC,1.6,77,-8,0,0,0,0,0,0
StageCloudB,-2.9,85,-8,0,0,0,0,0,0
Rabbit,3,5,0,0,0,0,0,0,0
Rabbit,6,9,0,0,0,0,0,0,0
Rabbit,-6,13,0,0,0,0,0,0,0
Rabbit,-3,17,0,0,0,0,0,0,0
Rabbit,0,21,0,0,0,0,0,0,0
Heel,0,13,0,0,0,0,0,0,0
Bamboo,6,25,0,0,0,0,0,0,0
Bamboo,5,25,0,0,0,0,0,0,0
Bamboo,4,25,0,0,0,0,0,0,0
Bamboo,3,25,0,0,0,0,0,0,0
Bamboo,2,25,0,0,0,0,0,0,0
KineRabbit,4,27,0,0,0,0,0,0,0
BambooB,-6,31,0,0,0,0,0,0,0
BambooB,-5,31,0,0,0,0,0,0,0
BambooB,-4,31,0,0,0,0,0,0,0
BambooB,-3,31,0,0,0,0,0,0,0
BambooB,-2,31,0,0,0,0,0,0,0
BambooB,-2,32,0,0,0,0,0,0,0
BambooB,-2,33,0,0,0,0,0,0,0
Rabbit,0,35,0,0,0,0,0,0,0
Heel,-3,33,0,0,0,0,0,0,0
Bamboo,0,37,0,0,0,0,0,0,0
Bamboo,-1,38,0,0,0,0,0,0,0
Bamboo,-2,39,0,0,0,0,0,0,0
Bamboo,-3,40,0,0,0,0,0,0,0
Bamboo,-4,41,0,0,0,0,0,0,0
BambooB,-5,42,0,0,0,0,0,0,0
BambooB,-6,43,0,0,0,0,0,0,0
KineRabbit,-5,40,0,0,0,0,0,0,0
Wisp,5,38,0,0,0,0,0,0,0
Wisp,5,41,0,0,0,0,0,0,0
BambooB,6,45,0,0,0,0,0,0,0
BambooB,5,46,0,0,0,0,0,0,0
Bamboo,4,47,0,0,0,0,0,0,0
Bamboo,3,48,0,0,0,0,0,0,0
Bamboo,2,49,0,0,0,0,0,0,0
Bamboo,1,50,0,0,0,0,0,0,0
Bamboo,0,51,0,0,0,0,0,0,0
Heel,5,48,0,0,0,0,0,0,0
Rabbit,-6,47,0,0,0,0,0,0,0
Rabbit,-1,49,0,0,0,0,0,0,0
Bamboo,0,54,0,0,0,0,0,0,0
Bamboo,0,58,0,0,0,0,0,0,0
Bamboo,0,62,0,0,0,0,0,0,0
Bamboo,0,66,0,0,0,0,0,0,0
Bamboo,0,70,0,0,0,0,0,0,0
Bamboo,-5,55,0,0,0,0,0,0,0
Bamboo,-2,59,0,0,0,0,0,0,0
Bamboo,-4,63,0,0,0,0,0,0,0
Bamboo,-3,67,0,0,0,0,0,0,0
Bamboo,-2,71,0,0,0,0,0,0,0
Bamboo,3,56,0,0,0,0,0,0,0
Bamboo,4,60,0,0,0,0,0,0,0
Bamboo,2,64,0,0,0,0,0,0,0
Bamboo,3,68,0,0,0,0,0,0,0
Bamboo,5,72,0,0,0,0,0,0,0
KineRabbit,2,54,0,0,0,0,0,0,0
KineRabbit,-4,58,0,0,0,0,0,0,0
KineRabbit,-5,62,0,0,0,0,0,0,0
KineRabbit,0,64,0,0,0,0,0,0,0
KineRabbit,4,70,0,0,0,0,0,0,0
Heel,3,63,0,0,0,0,0,0,0
Heel,-5,70,0,0,0,0,0,0,0
end,,,,,,,,,
