Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Player,0,0.25,0,0,0,0,0,0,0
Kaguya,0,0.125,0,0,0,0,0,0,0
Goal,0,80,-7,0,0,0,0,0,0
CloudA,6,80,-8,0,0,0,0,0,0
CloudC,2,80,-8,0,0,0,0,0,0
CloudB,-2,80,-8,0,0,0,0,0,0
CloudA,-6,80,-8,0,0,0,0,0,0
StageCloudD,-1,5,-8,0,0,0,0,0,0
StageCloudA,-3,45,-8,0,0,0,0,0,0
StageCloudB,5,56,-8,0,0,0,0,0,0
StageCloudD,2,77,-8,0,0,0,0,0,0
StageCloudA,-3,24,-8,0,0,0,0,0,0
StageCloudC,2,38,-8,0,0,0,0,0,0
StageCloudB,-4,13,-8,0,0,0,0,0,0
Bossusa,0,-10,-5,0,0,0,0,0,0
Bamboo,0,10,0,0,0,0,0,0,0
Bamboo,-1,10,0,0,0,0,0,0,0
Bamboo,-2,10,0,0,0,0,0,0,0
Bamboo,-3,10,0,0,0,0,0,0,0
Bamboo,-4,10,0,0,0,0,0,0,0
Bamboo,-5,10,0,0,0,0,0,0,0
Bamboo,-6,10,0,0,0,0,0,0,0
Bamboo,6,15,0,0,0,0,0,0,0
Bamboo,5,15,0,0,0,0,0,0,0
Bamboo,4,15,0,0,0,0,0,0,0
Bamboo,3,15,0,0,0,0,0,0,0
Bamboo,2,15,0,0,0,0,0,0,0
Bamboo,1,15,0,0,0,0,0,0,0
Bamboo,0,15,0,0,0,0,0,0,0
Bamboo,6,20,0,0,0,0,0,0,0
Bamboo,5,20,0,0,0,0,0,0,0
Bamboo,4,20,0,0,0,0,0,0,0
Bamboo,-6,20,0,0,0,0,0,0,0
Bamboo,-5,20,0,0,0,0,0,0,0
Bamboo,-4,20,0,0,0,0,0,0,0
Bamboo,-3,20,0,0,0,0,0,0,0
Bamboo,3,20,0,0,0,0,0,0,0
Bamboo,3,25,0,0,0,0,0,0,0
Bamboo,2,25,0,0,0,0,0,0,0
Bamboo,1,25,0,0,0,0,0,0,0
Bamboo,0,25,0,0,0,0,0,0,0
Bamboo,-1,25,0,0,0,0,0,0,0
Bamboo,-2,25,0,0,0,0,0,0,0
Bamboo,-3,25,0,0,0,0,0,0,0
Bamboo,-3,26,0,0,0,0,0,0,0
Bamboo,-3,27,0,0,0,0,0,0,0
Bamboo,-3,28,0,0,0,0,0,0,0
Bamboo,-3,29,0,0,0,0,0,0,0
Bamboo,-3,30,0,0,0,0,0,0,0
Bamboo,3,26,0,0,0,0,0,0,0
Bamboo,3,27,0,0,0,0,0,0,0
Bamboo,3,28,0,0,0,0,0,0,0
Bamboo,3,29,0,0,0,0,0,0,0
Bamboo,3,30,0,0,0,0,0,0,0
Bamboo,2,30,0,0,0,0,0,0,0
Bamboo,1,30,0,0,0,0,0,0,0
Bamboo,0,30,0,0,0,0,0,0,0
Bamboo,-1,30,0,0,0,0,0,0,0
Bamboo,-2,30,0,0,0,0,0,0,0
Bamboo,-3,30,0,0,0,0,0,0,0
Heel,4.5,28,0,0,0,0,0,0,0
BambooB,6,35,0,0,0,0,0,0,0
BambooB,5,35,0,0,0,0,0,0,0
BambooB,4,35,0,0,0,0,0,0,0
Bamboo,3,35,0,0,0,0,0,0,0
BambooB,6,40,0,0,0,0,0,0,0
BambooB,5,40,0,0,0,0,0,0,0
BambooB,4,40,0,0,0,0,0,0,0
Bamboo,3,40,0,0,0,0,0,0,0
BambooB,-6,35,0,0,0,0,0,0,0
BambooB,-5,35,0,0,0,0,0,0,0
BambooB,-4,35,0,0,0,0,0,0,0
Bamboo,-3,35,0,0,0,0,0,0,0
BambooB,-6,40,0,0,0,0,0,0,0
BambooB,-5,40,0,0,0,0,0,0,0
BambooB,-4,40,0,0,0,0,0,0,0
Bamboo,-3,40,0,0,0,0,0,0,0
Bamboo,-3,39,0,0,0,0,0,0,0
Bamboo,-3,38,0,0,0,0,0,0,0
Bamboo,-3,37,0,0,0,0,0,0,0
Bamboo,-3,36,0,0,0,0,0,0,0
Bamboo,3,39,0,0,0,0,0,0,0
Bamboo,3,38,0,0,0,0,0,0,0
Bamboo,3,37,0,0,0,0,0,0,0
Bamboo,3,36,0,0,0,0,0,0,0
Heel,4.5,38,0,0,0,0,0,0,0
Heel,-4.5,38,0,0,0,0,0,0,0
Bamboo,2,45,0,0,0,0,0,0,0
Bamboo,2,46,0,0,0,0,0,0,0
Bamboo,2,47,0,0,0,0,0,0,0
Bamboo,2,48,0,0,0,0,0,0,0
Bamboo,2,49,0,0,0,0,0,0,0
Bamboo,2,50,0,0,0,0,0,0,0
Bamboo,-2,45,0,0,0,0,0,0,0
Bamboo,-2,46,0,0,0,0,0,0,0
Bamboo,-2,47,0,0,0,0,0,0,0
Bamboo,-2,48,0,0,0,0,0,0,0
Bamboo,-2,49,0,0,0,0,0,0,0
Bamboo,-2,50,0,0,0,0,0,0,0
BambooB,-1,50,0,0,0,0,0,0,0
BambooB,0,50,0,0,0,0,0,0,0
BambooB,1,50,0,0,0,0,0,0,0
Bamboo,0,55,0,0,0,0,0,0,0
Bamboo,-1,56,0,0,0,0,0,0,0
Bamboo,-2,57,0,0,0,0,0,0,0
Bamboo,-3,58,0,0,0,0,0,0,0
Bamboo,-4,59,0,0,0,0,0,0,0
BambooB,-5,60,0,0,0,0,0,0,0
BambooB,-6,61,0,0,0,0,0,0,0
Bamboo,-5,62,0,0,0,0,0,0,0
Bamboo,-4,63,0,0,0,0,0,0,0
Bamboo,-3,64,0,0,0,0,0,0,0
Bamboo,-2,65,0,0,0,0,0,0,0
Bamboo,-1,66,0,0,0,0,0,0,0
