Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Player,0,0.25,0,0,0,0,0,0,0
Kaguya,0,0.125,0,0,0,0,0,0,0
Goal,0,40,-7,0,0,0,0,0,0
CloudA,6,40,-10,0,0,0,0,0,0
CloudC,2,40,-10,0,0,0,0,0,0
CloudB,-2,40,-10,0,0,0,0,0,0
CloudA,-6,40,-10,0,0,0,0,0,0
StageCloudD,-1,5,-10,0,0,0,0,0,0
StageCloudA,-3,10,-10,0,0,0,0,0,0
StageCloudB,5,15,-10,0,0,0,0,0,0
StageCloudD,2,20,-10,0,0,0,0,0,0
StageCloudA,-3,25,-10,0,0,0,0,0,0
StageCloudC,2,30,-10,0,0,0,0,0,0
StageCloudB,-4,35,-10,0,0,0,0,0,0
Bamboo,1,10,0,0,0,0,0,0,0
Bamboo,0,10,0,0,0,0,0,0,0
Bamboo,-1,10,0,0,0,0,0,0,0
Bamboo,6,20,0,0,0,0,0,0,0
Bamboo,5,20,0,0,0,0,0,0,0
Bamboo,-6,20,0,0,0,0,0,0,0
Bamboo,-5,20,0,0,0,0,0,0,0
Bamboo,-4,20,0,0,0,0,0,0,0
Bamboo,4,20,0,0,0,0,0,0,0
Bamboo,2,10,0,0,0,0,0,0,0
Bamboo,-2,10,0,0,0,0,0,0,0
BambooB,6,30,0,0,0,0,0,0,0
BambooB,4,30,0,0,0,0,0,0,0
BambooB,2,30,0,0,0,0,0,0,0
BambooB,0,30,0,0,0,0,0,0,0
BambooB,-2,30,0,0,0,0,0,0,0
BambooB,-4,30,0,0,0,0,0,0,0
BambooB,-6,30,0,0,0,0,0,0,0
end,,,,,,,,,
